"Family","SRR1544596","SRR1611146","SRR1611149","SRR9006502","SRR9006503","SRR9006504","SRR9006505","SRR9006506","SRR9006507","SRR9006508","SRR9006509","SRR9006510","SRR9006511","SRR9006524","SRR9006525","SRR9006526","SRR9006527","SRR9006528","SRR9006529","SRR9006530","SRR9006531","SRR9006542","SRR9006543","SRR9006544","SRR9006545","SRR9006546","SRR9006547","SRR9006548","SRR9006549","SRR9006550","SRR9006551","SRR9006552","SRR9006553","SRR9006554","SRR9006555","SRR9006556","SRR9006557","SRR9006558","SRR9006559","SRR9006560","SRR9006561","SRR9006578","SRR9006579","SRR9006580","SRR9006581","SRR9006582","SRR9006583","SRR9006584","SRR9006585","SRR9006586","SRR9006587"
"Aminoglycoside",0.044803814,0.049301099,0.070002302,0.078098553,0.037495189,0.031007733,0.031904465,0.171015638,0.022500327,0.034731401,0.050642838,0.035535098,0.015519101,0.065814642,0.018868267,0.016770631,0.047793229,0.03705606,0.038842871,0.030356277,0.04273746,0.040697283,0.051262928,0.085842951,0.024836114,0.028678591,0.019956919,0.017054949,0.056052506,0.031880931,0.034991267,0.031949451,0.022608863,0.049782336,0.017646338,0.035668063,0.018422181,0.014331937,0.056346989,0.019981396,0.016580598,0.037313056,0.029569254,0.186054518,0.033062025,0.015380118,0.02916535,0.034337566,0.03900918,0.03158497,0.124089011
"Antibacterial_fatty_acid",0.000144908,0.00012063,0.000168911,0.000224632,0.000148912,0.000163687,0.000320796,0.00017559,7.355e-05,0.000185123,0.000109727,0.000120294,0.00013981,0.000215921,8.42e-05,0.000202849,0.00019652,0.00022331,0.000226373,0.000345579,0.000232852,0.000155643,0.000129946,6.34e-05,0.000119322,0.000302312,0.000210272,0.000151508,0.000380589,0.000211989,0.000172363,0.000284672,0.000269468,0.000168072,0.000208243,0.000129033,0.000115703,0.000212,0.000108935,0.0001592,0.00014045,0.000343675,0.000183952,0.00020133,0.000188223,0.000226921,0.000172301,0.000204126,0.000187112,0.000231259,0.000208412
"Bacitracin",0.076504924,0.078412757,0.085244349,0.066037059,0.074488217,0.074902752,0.086783617,0.054509657,0.069596343,0.077006685,0.082137903,0.076437747,0.080515289,0.066821409,0.06130048,0.079381096,0.06908332,0.079412425,0.072164674,0.064814183,0.072035396,0.081654807,0.086998761,0.064546388,0.077226658,0.083046107,0.078043109,0.08505805,0.070419091,0.079586938,0.086358391,0.085856605,0.084289961,0.084430221,0.070385175,0.077525022,0.08667375,0.079686192,0.069976118,0.07598948,0.079185195,0.074249165,0.08907233,0.056768676,0.077772586,0.08629713,0.079876609,0.083268223,0.087371347,0.075809624,0.06201357
"Beta_lactam",0.103128698,0.107436845,0.141280934,0.177987474,0.076236079,0.079759731,0.06801473,0.310792058,0.063730065,0.088295702,0.074152401,0.091104282,0.040313691,0.155648482,0.037398815,0.041862607,0.096614197,0.094180727,0.099102271,0.072136062,0.115351763,0.066286021,0.086259471,0.223103469,0.078752657,0.052201113,0.04566601,0.048674067,0.147370818,0.062297098,0.058103883,0.065135869,0.061440808,0.088177952,0.046843522,0.073354583,0.042264836,0.047177151,0.146921484,0.043244335,0.036912943,0.063746702,0.08676713,0.352444575,0.070901674,0.040133368,0.07017839,0.062720567,0.076384188,0.056910183,0.258338289
"Chloramphenicol",0.001423007,0.000781591,0.001041435,0.000711201,0.001213779,0.000970598,0.001069631,0.001061634,0.000593195,0.000800298,0.001196327,0.000814108,0.000691036,0.000822744,0.001076387,0.001026109,0.001054806,0.001365107,0.000719795,0.000689957,0.001132713,0.000616406,0.001533135,0.000963663,0.000787191,0.00141024,0.000998186,0.000964218,0.001149836,0.001558091,0.000808847,0.000966234,0.001186728,0.001327557,0.000493628,0.000696421,0.000786934,0.001024202,0.000841251,0.000908024,0.000775553,0.000511606,0.000907248,0.00054729,0.001720227,0.000716471,0.001353756,0.001157513,0.001191286,0.000825401,0.001628625
"Defensin",0,1.58e-05,0,0,0,0,0,0,0,0,6.215e-05,0,0,0,5.04e-05,0,0,0,0,2.24e-05,0,4.105e-05,0,0,0,0,0,0,2.565e-05,0,0,0,0,2.33e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florfenicol",0.000129293,0.000172082,4.21e-05,0.000139021,0.000120323,6.33e-05,3.435e-05,0,0.000188732,0.000154414,8.54e-05,0.000118439,0,3.795e-05,0,0.000311725,0.000119628,0,0.000179341,0.000319126,0,0.000172664,0,3.325e-05,9.565e-05,4.245e-05,0.000154281,0.000150881,4.76e-05,2.805e-05,0.000246204,0.000332202,9.53e-05,0.000146315,8.665e-05,8.78e-05,0,3.765e-05,4.1e-05,0.000245971,0,0,0,0,0,0.000126154,9.515e-05,4.325e-05,0.000170243,0.000151721,0.000114281
"Fosfomycin",0.000141437,5.87e-05,0.000260368,0.00012645,0.000245346,0,0,0.000181048,0.00027201,6.945e-05,0.000467062,0.000262763,3.625e-05,0.000324537,0.000418029,0,0.000255348,0.000577797,0.000475413,0.000171917,0.000306995,0.000105735,0.000454223,0.000802416,8.1705e-05,0.000269882,0,7.85e-05,0.000149058,0.000112887,0.000266643,0,0.000249971,0.000394056,0.0001221,0.000282961,0.000134358,0.000246706,0.000190771,0.00049134,0.000345878,9.2244e-05,0.000304825,9.749e-05,0.00012274,7.01e-05,0.00027979,0.000140883,0.000241672,0.000211008,0.000434192
"Macrolide-lincosamide-streptogramin",0.027362649,0.037231961,0.022520189,0.035334601,0.037490284,0.034683981,0.040861154,0.022653112,0.031256333,0.033091102,0.029425916,0.031035334,0.03041197,0.023950786,0.03039052,0.033225546,0.027921925,0.030911224,0.025355747,0.028911495,0.029758366,0.026645985,0.025337135,0.030635721,0.029876119,0.03444574,0.032342485,0.031180554,0.023084257,0.031185422,0.03485701,0.03222974,0.0318393,0.028215413,0.028964124,0.027242955,0.032852135,0.034380187,0.03383379,0.034443634,0.025202695,0.034794345,0.030705823,0.022251698,0.024316854,0.031651549,0.035728534,0.029198678,0.03761585,0.030701434,0.03000389
"Multidrug",0.070104789,0.064040195,0.087997029,0.086584538,0.056407655,0.054811563,0.060122228,0.155846211,0.0485156,0.062083014,0.07148414,0.065724291,0.046924859,0.088057433,0.049347788,0.048517384,0.075787033,0.066284348,0.068436095,0.062127611,0.072700965,0.06269868,0.068828244,0.093718667,0.060868606,0.057444577,0.051388488,0.0518527,0.074977544,0.054778421,0.061036401,0.057298834,0.0605033,0.072075304,0.049132244,0.057430663,0.050779707,0.043389468,0.072597624,0.046477942,0.05393611,0.059354559,0.063998915,0.151867787,0.057332083,0.054501503,0.053421372,0.059479012,0.061747753,0.059533767,0.118198482
