Date;Conductivity_manual_mS_cm;pH_manual;Temp_manual;Oxygen_manual_mg_L;Oxygen_sat_manual;Temp_Air;pH_online
21.03.2011;1065;7.22;13.6;0.28;2.8;8;6.939166667
29.03.2011;1047;7.01;13.3;0.63;6.2;10;6.993333333
05.04.2011;848;6.93;13.4;0.26;2.5;8;6.8725
14.04.2011;920;6.82;14.5;0.18;1.8;7;6.98
21.04.2011;1151;6.73;15.7;0.19;2;18;6.975833333
29.04.2011;950;6.93;15.7;0.45;4.4;15;6.95
06.05.2011;860;7.94;16.1;0.05;0.5;21;6.976666667
13.05.2011;624;6.83;17.4;0.17;1.8;17;6.934166667
20.05.2011;1051;6.76;17.6;0.3;3.2;20;6.951666667
27.05.2011;1162;6.78;17.5;0.24;2.5;12;7.015833333
03.06.2011;1041;6.64;18.3;0.18;2;20;6.684166667
09.06.2011;907;6.68;18.3;0.41;4.4;16;6.6525
17.06.2011;925;6.7;18.8;0.22;2.4;17;6.706666667
24.06.2011;976;6.78;17.9;0.19;2;12;6.683333333
01.07.2011;1178;6.7;19;0.25;2.7;14;6.649166667
08.07.2011;1153;6.76;19.8;0.18;2;19;6.785
05.08.2011;938;6.49;20;0.21;2.4;19;6.6
11.08.2011;1131;6.55;18.9;0.19;2.1;23;6.640833333
19.08.2011;1274;6.49;20.1;0.18;2.1;21;6.771666667
29.08.2011;988;6.64;19;0.26;2.8;13;6.650833333
05.09.2011;1219;6.69;20.2;0.12;1.4;18;6.723333333
12.09.2011;858;NA;19.2;0.21;2.4;15;6.648333333
19.09.2011;1030;NA;18.4;0.19;2.1;15;6.618333333
28.09.2011;1238;NA;19.5;0.18;2;17;6.7025
05.10.2011;1221;NA;19.7;0.21;2.1;17;6.7175
12.10.2011;1075;NA;17.9;0.22;2.4;12;6.66
02.11.2011;1087;NA;17.2;0.23;2.5;11;6.725833333
07.11.2011;1091;6.97;17.2;0.2;2.1;8;6.660833333
16.11.2011;1220;6.85;15.9;0.39;4;-1;6.714166667
23.11.2011;1145;6.81;16.2;0.44;4.6;8;6.716666667
29.11.2011;1195;7.02;15.7;0.21;2.2;4;6.730833333
21.12.2011;1114;6.97;11.1;0.23;2.1;1;6.801666667
28.12.2011;1063;7.07;12.3;0.2;1.9;2;6.806666667
03.01.2012;825;7.14;11.6;0.2;1.9;4;6.873333333
11.01.2012;958;6.96;11.5;0.22;2;8;6.863333333
19.01.2012;1157;6.97;12.1;0.38;3.6;8;6.813333333
25.01.2012;825;7.08;10.7;0.22;2.1;2;6.859166667
01.02.2012;1410;6.94;10.7;0.29;2.6;-7;6.813333333
08.02.2012;1196;6.89;10.6;0.28;2.5;-5;6.704166667
14.02.2012;800;6.94;11.2;0.2;1.9;1;6.675833333
23.02.2012;1144;6.84;10.6;0.24;2.2;3;6.734166667
29.02.2012;1064;6.94;11.8;0.35;3.3;9;6.830833333
08.03.2012;966;7.12;11;0.21;1.9;4;6.748333333
14.03.2012;727;7.18;12.2;0.3;2.8;4;6.986666667
22.03.2012;1127;6.91;12.8;0.23;2.2;17;6.9575
28.03.2012;1175;6.98;14.5;0.34;3.4;15;6.9925
04.04.2012;563;7.01;14;0.19;1.9;9;7.1675
10.04.2012;929;6.98;13.2;0.19;1.9;10;7.256666667
17.04.2012;1163;6.75;13.9;0.25;2.5;6;6.985
25.04.2012;938;7.05;12.7;0.19;1.8;6;7.021666667
03.05.2012;969;NA;13.4;0.21;2.1;11;7.150833333
