Date;Sample_ID;SRR_ID
21.03.2011;  D37  ;SRR9006558
29.03.2011;  D02  ;SRR9006511
05.04.2011;  D39  ;SRR9006560
14.04.2011;  D24  ;SRR9006548
21.04.2011;  D25  ;SRR9006547
29.04.2011;  D35  ;SRR9006557
06.05.2011;  D46  ;SRR9006526
13.05.2011;  D13  ;SRR9006582
20.05.2011;  D40  ;SRR9006561
27.05.2011;  D33  ;SRR9006555
03.06.2011;  D06  ;SRR9006507
09.06.2011;  D27  ;SRR9006545
17.06.2011;  D42  ;SRR9006553
24.06.2011;  D03  ;SRR9006508
01.07.2011;  D47  ;SRR9006529
08.07.2011;  D18  ;SRR9006579
05.08.2011;  D45  ;SRR9006527
11.08.2011;  D51  ;SRR9006530
19.08.2011;  D43  ;SRR9006525
29.08.2011;  D34  ;SRR9006556
05.10.2011;D49;SRR1611149
12.10.2011;  D32  ;SRR1544596
05.09.2011;  D30  ;SRR9006542
12.09.2011;  D04  ;SRR9006509
19.09.2011;  D31  ;SRR9006554
28.09.2011;  D29  ;SRR9006543
02.11.2011;  D23  ;SRR9006549
07.11.2011;  D44  ;SRR9006524
16.11.2011;  D20  ;SRR9006587
23.11.2011;  D15  ;SRR9006580
29.11.2011;  D05  ;SRR9006506
21.12.2011;  D28  ;SRR9006544
28.12.2011;  D09  ;SRR9006502
03.01.2012;  D38  ;SRR9006559
11.01.2012;D36;SRR1611146
19.01.2012;  D12  ;SRR9006585
25.01.2012;  D10  ;SRR9006503
01.02.2012;  D14  ;SRR9006583
08.02.2012;  D08  ;SRR9006505
14.02.2012;  D26  ;SRR9006546
23.02.2012;  D21  ;SRR9006551
29.02.2012;  D19  ;SRR9006586
08.03.2012;  D17  ;SRR9006578
14.03.2012;  D41  ;SRR9006552
22.03.2012;  D11  ;SRR9006584
28.03.2012;  D16  ;SRR9006581
04.04.2012;  D07  ;SRR9006504
10.04.2012;  D22  ;SRR9006550
17.04.2012;  D01  ;SRR9006510
25.04.2012;  D50  ;SRR9006531
03.05.2012;  D48  ;SRR9006528
